,bill_no,cashier_id
257,536842,4
258,536843,2
259,536844,2
260,536845,3
261,536846,2
262,536847,2
263,536848,2
264,536849,2
265,536851,2
266,536852,27
267,536856,4
268,536857,1
269,536858,7
270,536859,2
271,536860,4
272,536861,26
273,536862,1
274,536863,4
275,536864,2
276,536865,2
277,536866,1
278,536874,1
279,536876,3
280,536884,1
281,536920,3
282,536938,2
283,536943,3
284,536944,9
285,536945,1
286,536946,4
287,536947,3
288,536954,4
289,536956,3
290,536957,3
291,536960,2
292,536967,26
293,536968,1
294,536969,2
295,536970,1
296,536971,14
297,536972,4
298,536973,4
299,536974,27
300,536976,2
301,536977,4
302,536980,2
303,536981,4
304,536982,3
305,536983,26
306,536984,3
307,536985,4
308,536986,3
309,536987,3
310,536988,3
311,536989,3
312,536990,13
313,536991,2
314,536992,2
315,536993,4
316,536994,3
317,537022,21
318,537023,4
319,537025,3
320,537026,29
321,537030,2
322,537031,3
323,537034,1
324,537035,3
325,537036,3
326,537037,4
327,537038,2
328,537040,3
329,537041,4
330,537042,1
331,537044,1
332,537045,3
333,537046,1
334,537047,1
335,537048,4
336,537049,3
337,537050,3
338,537051,3
339,537052,2
340,537053,4
341,537054,1
342,537055,3
343,537057,2
344,537058,3
345,537059,1
346,537065,27
347,537067,4
348,537077,4
349,537081,18
350,537086,18
351,537090,18
352,537111,2
353,537117,1
354,537126,2
355,537127,2
356,537128,4
357,537129,2
358,537130,1
359,537131,3
360,537133,1
361,537134,3
362,537135,2
363,537136,1
364,537137,3
365,537138,2
366,537139,1
367,537140,2
368,537141,1
369,537142,3
370,537144,3
371,537153,2
372,537154,1
373,537155,2
374,537156,1
375,537158,2
376,537159,4
377,537160,3
378,537163,2
379,537176,2
380,537179,4
381,537192,4
382,537193,3
383,537194,4
384,537195,1
385,537196,1
386,537197,26
387,537198,26
388,537199,2
389,537200,4
390,537201,26
391,537202,3
392,537204,3
393,537205,3
394,537206,4
395,537207,2
396,537208,3
397,537209,1
398,537210,3
399,537211,4
400,537212,26
401,537213,4
402,537214,1
403,537215,1
404,537216,2
405,537217,1
406,537218,20
407,537219,1
408,537220,1
409,537221,4
410,537222,3
411,537223,1
412,537224,4
413,537225,4
414,537226,2
415,537227,2
416,537228,3
417,537229,2
418,537230,2
419,537231,2
420,537233,3
421,537235,3
422,537236,1
423,537237,2
424,537238,1
425,537239,1
426,537240,2
427,537241,4
428,537242,1
429,537243,2
430,537244,4
431,537245,2
432,537246,13
433,537247,1
434,537248,4
435,537249,2
436,537250,26
437,537253,3
438,537254,2
439,537255,3
440,537256,1
441,537257,2
442,537258,2
443,537262,3
444,537265,4
445,537298,3
446,537301,2
447,537312,2
448,537313,2
449,537332,1
450,537334,3
451,537335,2
452,537346,4
453,537350,3
454,537351,4
455,537354,4
456,537359,4
457,537360,3
458,537362,3
459,537365,2
460,537366,3
461,537367,1
462,537369,4
463,537370,1
464,537371,3
465,537372,2
466,537374,2
467,537375,4
468,537376,1
469,537377,1
470,537380,1
471,537381,3
472,537382,4
473,537384,4
474,537385,3
475,537387,4
476,537388,3
477,537389,3
478,537390,2
479,537391,1
480,537392,2
481,537393,1
482,537394,4
483,537395,2
484,537396,1
485,537397,1
486,537399,2
487,537400,3
488,537403,4
489,537404,1
490,537405,4
491,537407,1
492,537409,1
493,537410,4
494,537411,4
495,537412,4
496,537415,3
497,537418,4
498,537419,1
499,537420,2
500,537421,4
501,537422,4
502,537423,1
503,537424,3
504,537428,4
505,537429,3
506,537433,1
507,537434,2
508,537435,2
509,537440,1
510,537441,3
511,537442,4
512,537446,4
513,537447,4
514,537448,1
515,537456,3
516,537457,2
517,537458,3
518,537459,4
519,537460,3
520,537461,2
521,537462,4
522,537463,27
523,537464,1
524,537465,4
525,537467,3
526,537468,27
527,537469,1
528,537470,4
529,537471,3
530,537472,1
531,537476,3
532,537484,2
533,537489,1
534,537509,2
535,537523,1
536,537538,2
537,537567,1
538,537592,1
539,537593,1
540,537594,26
541,537595,2
542,537598,4
543,537599,1
544,537601,2
545,537603,3
546,537604,2
547,537605,2
548,537606,2
549,537607,3
550,537608,4
551,537609,2
552,537612,4
553,537614,4
554,537615,4
555,537616,2
556,537617,2
557,537618,4
558,537619,2
559,537620,2
560,537621,3
561,537622,4
562,537623,1
563,537624,2
564,537625,4
565,537626,23
566,537627,2
567,537628,3
568,537629,2
569,537631,3
570,537632,3
571,537633,2
572,537634,2
573,537635,3
574,537636,4
575,537637,2
576,537638,2
577,537640,2
578,537641,3
579,537642,3
580,537643,1
581,537645,1
582,537646,1
583,537648,1
584,537649,4
585,537650,3
586,537653,1
587,537654,1
588,537655,2
589,537657,3
590,537658,2
591,537659,4
592,537664,3
593,537665,4
594,537666,3
595,537667,1
596,537668,4
597,537669,2
598,537670,4
599,537671,4
600,537672,2
601,537673,26
602,537674,1
603,537676,32
604,537678,2
605,537679,3
606,537680,1
607,537681,2
608,537682,1
609,537683,3
610,537685,3
611,537686,1
612,537688,2
613,537689,2
614,537690,3
615,537691,3
616,537692,4
617,537693,27
618,537694,4
619,537698,2
620,537700,1
621,537707,4
622,537738,1
623,537743,3
624,537751,1
625,537754,4
626,537755,4
627,537757,3
628,537758,4
629,537759,1
630,537760,1
631,537761,2
632,537762,3
633,537764,1
634,537765,2
635,537766,2
636,537767,3
637,537768,2
638,537769,3
639,537770,2
640,537771,2
641,537772,1
642,537773,1
643,537774,1
644,537775,4
645,537780,3
646,537781,3
647,537789,2
648,537791,2
649,537792,3
650,537793,4
651,537794,4
652,537795,1
653,537796,2
654,537799,1
655,537800,1
656,537801,4
657,537802,2
658,537803,3
659,537804,3
660,537806,2
661,537808,3
662,537809,2
663,537810,2
664,537811,3
665,537813,1
666,537815,2
667,537816,1
668,537817,1
669,537818,13
670,537819,4
671,537822,1
672,537823,1
673,537825,1
674,537826,3
675,537827,18
676,537828,2
677,537829,4
678,537830,3
679,537831,1
680,537833,2
681,537837,3
682,537839,1
683,537840,3
684,537842,4
685,537843,2
686,537844,3
687,537845,3
688,537846,2
689,537847,2
690,537848,4
691,537849,3
692,537850,2
693,537851,2
694,537852,2
695,537854,1
696,537855,2
697,537858,4
698,537859,1
699,537861,3
700,537862,3
701,537863,1
702,537864,4
703,537865,4
704,537866,3
705,537867,3
706,537868,15
707,537871,2
708,537879,4
709,537880,1
710,537881,4
711,537882,4
712,537883,4
713,537884,1
714,537885,3
715,537886,3
716,537887,1
717,537888,2
718,537889,4
719,537890,4
720,537891,2
721,537892,26
722,537894,26
723,537895,3
724,537896,1
725,537897,27
726,537898,4
727,537899,20
728,537900,2
729,537901,2
730,537915,13
731,537955,3
732,537963,1
733,537967,27
734,537981,3
735,537995,26
736,538000,1
737,538005,2
738,538006,1
739,538007,1
740,538008,27
741,538010,1
742,538011,1
743,538012,2
744,538013,3
745,538014,4
746,538015,2
747,538032,2
748,538035,2
749,538037,4
750,538040,2
751,538044,4
752,538048,3
753,538049,4
754,538050,3
755,538051,1
756,538053,3
757,538056,3
758,538057,3
759,538060,1
760,538063,2
761,538064,2
762,538065,4
763,538067,3
764,538068,2
765,538069,1
766,538070,3
767,538071,2
768,538073,3
769,538076,4
770,538077,1
771,538078,3
772,538079,1
773,538080,4
774,538086,3
775,538087,3
776,538093,27
777,538094,2
778,538095,9
779,538096,3
780,538097,4
781,538101,4
782,538104,2
783,538106,2
784,538107,4
785,538108,3
786,538113,1
787,538116,2
788,538117,2
789,538120,4
790,538125,3
791,538126,3
792,538127,4
793,538145,3
794,538146,4
795,538148,3
796,538149,3
797,538151,4
798,538153,3
799,538154,3
800,538155,2
801,538156,2
802,538157,1
803,538163,2
804,538165,3
805,538166,3
806,538167,3
807,538168,1
808,538169,4
809,538170,1
810,538171,3
811,538172,1
812,538174,26
813,538176,3
814,538177,2
815,538178,2
816,538179,3
817,538180,4
818,538181,2
819,538182,1
820,538183,4
821,538184,3
822,538185,4
823,538186,4
824,538187,3
825,538188,2
826,538190,2
827,538191,3
828,538192,3
829,538193,1
830,538195,4
831,538196,27
832,538197,3
833,538198,4
834,538199,2
835,538200,3
836,538201,1
837,538202,3
838,538203,2
839,538204,4
840,538205,3
841,538206,4
842,538207,1
843,538208,1
844,538209,4
845,538210,3
846,538211,2
847,538216,4
848,538240,3
849,538248,3
850,538250,3
851,538252,1
852,538260,4
853,538263,3
854,538268,4
855,538279,2
856,538280,4
857,538283,4
858,538296,4
859,538306,4
860,538307,2
861,538308,4
862,538309,2
863,538310,4
864,538311,13
865,538312,3
866,538313,3
867,538327,4
868,538343,2
869,538345,3
870,538346,4
871,538347,4
872,538349,2
873,538351,1
874,538352,4
875,538353,4
876,538354,3
877,538355,1
878,538356,1
879,538358,4
880,538361,2
881,538363,2
882,538364,3
883,538365,1
884,538366,2
885,538367,2
886,538368,4
887,538369,2
888,538370,2
889,538371,1
890,538374,4
891,538378,4
892,538379,1
893,538382,1
894,538397,20
895,538403,3
896,538409,4
897,538417,3
898,538418,4
899,538419,1
900,538421,3
901,538437,1
902,538449,1
903,538453,4
904,538470,1
905,538473,2
906,538488,1
907,538497,1
908,538499,2
909,538501,1
910,538503,2
911,538504,4
912,538507,1
913,538508,3
914,538509,3
915,538510,3
916,538511,4
917,538512,1
918,538513,4
919,538514,4
920,538515,3
921,538516,2
922,538517,1
923,538518,2
924,538519,2
925,538520,3
926,538521,2
927,538522,2
928,538523,4
929,538524,2
930,538525,9
931,538526,4
932,538527,3
933,538528,2
934,538529,4
935,538532,4
936,538533,1
937,538535,3
938,538537,4
939,538541,1
940,538557,3
941,538558,1
942,538566,4
943,538567,4
944,538576,1
945,538591,1
946,538592,2
947,538593,1
948,538594,1
949,538596,3
950,538597,4
951,538625,1
952,538626,2
953,538627,1
954,538629,4
955,538630,2
956,538631,4
957,538633,2
958,538634,3
959,538635,4
960,538636,1
961,538637,4
962,538638,2
963,538639,3
964,538640,1
965,538641,2
966,538644,26
967,538645,2
968,538646,2
969,538648,4
970,538649,4
971,538651,1
972,538652,1
973,538653,3
974,538654,1
975,538655,2
976,538656,4
977,538657,2
978,538658,4
979,538659,2
980,538660,2
981,538661,2
982,538662,3
983,538663,2
984,538664,2
985,538665,1
986,538666,2
987,538668,4
988,538671,2
989,538678,4
990,538679,3
991,538683,4
992,538687,1
993,538688,3
994,538689,4
995,538697,4
996,538706,4
997,538707,4
998,538708,2
999,538709,4
1000,538710,2
1001,538714,3
1002,538715,2
1003,538716,2
1004,538719,4
1005,538721,1
1006,538722,3
1007,538724,1
1008,538744,2
1009,538753,2
1010,538778,1
1011,538783,3
1012,538785,2
1013,538795,1
1014,538796,1
1015,538799,1
1016,538800,2
1017,538801,1
1018,538807,4
1019,538808,4
1020,538809,4
1021,538810,3
1022,538811,4
1023,538812,2
1024,538814,2
1025,538815,3
1026,538816,4
1027,538827,2
1028,538828,4
1029,538830,2
1030,538831,2
1031,538832,1
1032,538836,3
1033,538839,4
1034,538841,2
1035,538843,4
1036,538844,1
1037,538845,3
1038,538846,1
1039,538848,8
1040,538849,3
1041,538850,2
1042,538851,3
1043,538852,4
1044,538853,2
1045,538854,4
1046,538855,2
1047,538856,2
1048,538857,3
1049,538858,2
1050,538859,3
1051,538860,4
1052,538862,4
1053,538863,2
1054,538864,4
1055,538865,4
1056,538866,1
1057,538867,2
1058,538868,4
1059,538869,1
1060,538870,3
1061,538871,2
1062,538872,4
1063,538875,2
1064,538877,2
1065,538878,2
1066,538879,3
1067,538880,2
1068,538881,4
1069,538883,3
1070,538884,1
1071,538885,3
1072,538886,3
1073,538888,2
1074,538890,3
1075,538892,3
1076,538894,3
1077,538895,4
1078,538896,4
1079,538899,1
1080,538900,1
1081,538901,3
1082,538902,1
1083,538903,4
1084,538905,1
1085,538907,1
1086,538908,3
1087,538909,4
1088,538910,2
1089,538917,1
1090,538935,1
1091,538942,1
1092,538943,4
1093,538944,2
1094,538945,1
1095,538951,1
1096,538967,4
1097,538968,1
1098,538991,1
1099,538992,1
1100,538993,4
1101,538994,1
1102,538995,2
1103,538996,4
1104,538998,1
1105,538999,4
1106,539000,4
1107,539001,4
1108,539002,4
1109,539004,3
1110,539006,2
1111,539007,3
1112,539008,2
1113,539009,2
1114,539010,2
1115,539011,2
1116,539013,3
1117,539014,3
1118,539015,4
1119,539016,1
1120,539017,3
1121,539018,1
1122,539019,3
1123,539030,1
1124,539032,1
1125,539033,4
1126,539034,4
1127,539036,4
1128,539038,4
1129,539039,4
1130,539040,2
1131,539041,4
1132,539042,2
1133,539043,4
1134,539044,4
1135,539046,1
1136,539047,4
1137,539049,1
1138,539050,27
1139,539051,1
1140,539052,3
1141,539053,3
1142,539064,4
1143,539074,1
1144,539075,2
1145,539076,3
1146,539077,2
1147,539078,2
1148,539079,4
1149,539080,1
1150,539081,2
1151,539082,2
1152,539083,4
1153,539084,1
1154,539085,2
1155,539086,4
1156,539087,3
1157,539088,4
1158,539089,4
1159,539091,3
1160,539092,4
1161,539093,4
1162,539094,2
1163,539095,2
1164,539096,2
1165,539098,3
1166,539099,3
1167,539101,2
1168,539102,1
1169,539103,2
1170,539105,4
1171,539106,4
1172,539107,2
1173,539108,4
1174,539109,4
1175,539111,4
1176,539112,2
1177,539113,27
1178,539118,3
1179,539142,4
1180,539143,3
1181,539144,3
1182,539160,1
1183,539181,1
1184,539185,2
1185,539196,4
1186,539201,2
1187,539211,3
1188,539212,4
1189,539213,1
1190,539214,2
1191,539215,2
1192,539216,4
1193,539217,4
1194,539218,1
1195,539219,1
1196,539220,3
1197,539222,1
1198,539223,1
1199,539225,1
1200,539226,3
1201,539240,4
1202,539242,4
1203,539243,1
1204,539245,4
1205,539246,3
1206,539247,1
1207,539248,3
1208,539249,1
1209,539250,1
1210,539252,2
1211,539254,3
1212,539255,2
1213,539256,2
1214,539257,3
1215,539259,1
1216,539261,3
1217,539262,1
1218,539263,3
1219,539264,3
1220,539265,4
1221,539266,2
1222,539267,3
1223,539268,4
1224,539269,1
1225,539272,1
1226,539275,2
1227,539280,1
1228,539281,2
1229,539282,3
1230,539283,3
1231,539285,4
1232,539286,1
1233,539290,4
1234,539292,2
1235,539293,2
1236,539294,3
1237,539295,3
1238,539296,1
1239,539297,4
1240,539298,3
1241,539299,1
1242,539300,1
1243,539303,4
1244,539304,3
1245,539305,2
1246,539306,1
1247,539307,3
1248,539308,3
1249,539309,1
1250,539310,3
1251,539311,2
1252,539312,3
1253,539313,3
1254,539314,2
1255,539315,4
1256,539316,1
1257,539317,2
1258,539319,2
1259,539321,1
1260,539322,4
1261,539324,4
1262,539325,1
1263,539326,1
1264,539327,26
1265,539328,4
1266,539330,31
1267,539333,4
1268,539334,3
1269,539335,4
1270,539336,1
1271,539338,8
1272,539351,9
1273,539353,13
1274,539374,4
1275,539379,1
1276,539391,29
1277,539395,26
1278,539398,26
1279,539400,2
1280,539401,26
1281,539403,26
1282,539404,1
1283,539405,26
1284,539406,3
1285,539407,27
1286,539408,26
1287,539410,1
1288,539411,2
1289,539412,2
1290,539414,1
1291,539415,2
1292,539416,3
1293,539417,2
1294,539418,4
1295,539419,32
1296,539420,3
1297,539422,4
1298,539423,4
1299,539434,3
1300,539435,27
1301,539436,3
1302,539437,3
1303,539439,4
1304,539440,3
1305,539442,2
1306,539443,2
1307,539444,3
1308,539445,4
1309,539446,26
1310,539447,29
1311,539449,1
1312,539450,2
1313,539451,1
1314,539452,1
1315,539453,3
1316,539454,1
1317,539455,2
1318,539456,4
1319,539457,4
1320,539458,1
1321,539459,3
1322,539460,1
1323,539461,4
1324,539462,4
1325,539463,3
1326,539464,2
1327,539465,3
1328,539466,26
1329,539468,2
1330,539469,1
1331,539470,1
1332,539471,2
1333,539472,2
1334,539474,3
1335,539475,4
1336,539477,3
1337,539478,2
1338,539479,3
1339,539480,4
1340,539481,3
1341,539482,1
1342,539483,1
1343,539484,1
1344,539485,4
1345,539487,1
1346,539488,7
1347,539489,2
1348,539490,3
1349,539491,16
1350,539492,4
1351,539493,2
1352,539496,1
1353,539497,2
1354,539498,3
1355,539500,30
1356,539501,4
1357,539502,3
1358,539551,27
1359,539561,4
1360,539564,4
1361,539567,3
1362,539570,2
1363,539571,1
1364,539572,3
1365,539579,1
1366,539580,4
1367,539581,4
1368,539586,3
1369,539587,3
1370,539588,3
1371,539590,4
1372,539591,1
1373,539592,2
1374,539593,1
1375,539594,2
1376,539595,1
1377,539597,4
1378,539604,3
1379,539607,27
1380,539609,1
1381,539610,2
1382,539628,1
1383,539629,4
1384,539630,4
1385,539631,2
1386,539633,1
1387,539634,2
1388,539635,1
1389,539636,26
1390,539637,3
1391,539639,2
1392,539641,3
1393,539642,1
1394,539643,3
1395,539647,1
1396,539648,4
1397,539649,1
1398,539650,3
1399,539653,4
1400,539654,4
1401,539656,1
1402,539658,2
1403,539659,4
1404,539660,3
1405,539662,4
1406,539663,2
1407,539664,2
1408,539665,3
1409,539666,4
1410,539675,3
1411,539676,29
1412,539688,27
1413,539708,2
1414,539715,2
1415,539716,3
1416,539717,3
1417,539718,3
1418,539720,2
1419,539723,4
1420,539724,4
1421,539725,3
1422,539727,27
1423,539728,2
1424,539729,3
1425,539730,2
1426,539731,16
1427,539732,4
1428,539733,2
1429,539734,1
1430,539735,2
1431,539736,4
1432,539737,3
1433,539738,3
1434,539739,1
1435,539740,2
1436,539741,3
1437,539742,2
1438,539743,2
1439,539744,2
1440,539745,4
1441,539746,3
1442,539747,4
1443,539748,2
1444,539750,4
1445,539752,21
1446,539753,1
1447,539754,1
1448,539755,4
1449,539758,1
1450,539759,1
1451,539760,4
1452,539761,3
1453,539762,4
1454,539764,4
1455,539766,1
1456,539825,3
1457,539826,4
1458,539828,3
1459,539829,27
1460,539831,2
1461,539835,3
1462,539836,2
1463,539837,4
1464,539839,4
1465,539840,29
1466,539858,2
1467,539859,4
1468,539864,3
1469,539865,3
1470,539867,2
1471,539920,1
1472,539921,2
1473,539933,4
1474,539946,26
1475,539951,4
1476,539952,4
1477,539953,3
1478,539954,2
1479,539955,3
1480,539957,26
1481,539958,1
1482,539978,4
1483,539979,3
1484,539981,1
1485,539982,4
1486,539985,3
1487,539986,2
1488,539987,2
1489,539988,4
1490,539989,4
1491,539990,3
1492,539991,4
1493,539992,3
1494,539993,4
1495,540001,2
1496,540002,2
1497,540003,2
1498,540004,1
1499,540005,2
1500,540013,4
1501,540014,3
1502,540015,1
1503,540016,3
1504,540017,3
1505,540019,2
1506,540020,1
1507,540021,2
1508,540022,2
1509,540023,3
1510,540024,4
1511,540025,4
1512,540026,4
1513,540027,3
1514,540028,1
1515,540029,1
1516,540031,4
1517,540032,4
1518,540033,4
1519,540040,8
1520,540043,1
1521,540059,1
1522,540060,2
1523,540073,2
1524,540093,4
1525,540094,4
1526,540095,1
1527,540096,1
1528,540098,1
1529,540099,1
1530,540113,4
1531,540114,2
1532,540115,4
1533,540116,4
1534,540120,2
1535,540121,3
1536,540122,2
1537,540126,1
1538,540130,3
1539,540146,4
1540,540148,4
1541,540149,1
1542,540150,3
1543,540153,4
1544,540154,2
1545,540157,1
1546,540160,4
1547,540161,3
1548,540162,1
1549,540163,4
1550,540166,1
1551,540167,1
1552,540168,2
1553,540169,1
1554,540170,2
1555,540172,3
1556,540173,2
1557,540174,3
1558,540175,4
1559,540176,2
1560,540178,27
1561,540179,2
1562,540180,4
1563,540181,3
1564,540182,3
1565,540183,3
1566,540184,3
1567,540185,2
1568,540186,2
1569,540187,2
1570,540188,1
1571,540227,2
1572,540238,4
1573,540239,27
1574,540240,1
1575,540242,2
1576,540245,2
1577,540247,1
1578,540248,3
1579,540249,1
1580,540251,2
1581,540253,4
1582,540255,2
1583,540257,3
1584,540258,4
1585,540259,2
1586,540260,1
1587,540261,1
1588,540262,2
1589,540263,4
1590,540265,4
1591,540267,32
1592,540268,1
1593,540269,4
1594,540273,1
1595,540274,2
1596,540275,4
1597,540276,4
1598,540277,3
1599,540278,2
1600,540279,2
1601,540280,32
1602,540288,3
1603,540316,2
1604,540345,1
1605,540348,3
1606,540349,3
1607,540350,1
1608,540351,27
1609,540352,3
1610,540353,4
1611,540354,1
1612,540355,1
1613,540356,2
1614,540357,1
1615,540358,4
1616,540359,3
1617,540361,3
1618,540362,1
1619,540363,1
1620,540364,4
1621,540365,27
1622,540370,4
1623,540371,2
1624,540372,2
1625,540373,1
1626,540374,3
1627,540375,3
1628,540383,4
1629,540387,3
1630,540395,4
1631,540396,3
1632,540397,2
1633,540399,1
1634,540401,2
1635,540402,3
1636,540404,1
1637,540405,1
1638,540406,2
1639,540407,4
1640,540408,1
1641,540409,3
1642,540410,26
1643,540411,2
1644,540412,1
1645,540413,2
1646,540414,26
1647,540415,3
1648,540416,4
1649,540418,2
1650,540420,2
1651,540452,2
1652,540453,2
1653,540454,3
1654,540455,27
1655,540456,3
1656,540457,1
1657,540458,26
1658,540459,2
1659,540460,4
1660,540461,3
1661,540462,3
1662,540463,27
1663,540464,4
1664,540465,4
1665,540466,3
1666,540467,1
1667,540468,3
1668,540469,9
1669,540471,1
1670,540472,2
1671,540473,2
1672,540474,3
1673,540475,1
1674,540476,4
1675,540477,1
1676,540478,1
1677,540479,4
1678,540480,26
1679,540481,4
1680,540482,4
1681,540489,1
1682,540493,2
1683,540495,2
1684,540496,1
1685,540497,4
1686,540498,2
1687,540499,1
1688,540500,3
1689,540501,4
1690,540502,2
1691,540504,3
1692,540505,1
1693,540506,3
1694,540507,4
1695,540508,3
1696,540509,3
1697,540510,1
1698,540511,3
1699,540512,1
1700,540513,1
1701,540514,4
1702,540515,2
1703,540516,4
1704,540517,4
1705,540518,4
1706,540519,13
1707,540520,3
1708,540521,27
1709,540522,4
1710,540523,1
1711,540524,4
1712,540525,3
1713,540526,4
1714,540528,1
1715,540529,4
1716,540530,4
1717,540531,3
1718,540532,1
1719,540533,3
1720,540534,3
1721,540536,2
1722,540537,4
1723,540538,3
1724,540539,1
1725,540540,4
1726,540541,1
1727,540542,3
1728,540543,4
1729,540544,1
1730,540545,2
1731,540546,13
1732,540548,1
1733,540550,9
1734,540551,2
1735,540552,4
1736,540553,26
1737,540554,3
1738,540556,22
1739,540561,1
1740,540562,26
1741,540563,1
1742,540565,4
1743,540566,3
1744,540567,4
1745,540568,4
1746,540595,3
1747,540604,2
1748,540630,2
1749,540635,3
1750,540636,3
1751,540639,2
1752,540640,4
1753,540641,1
1754,540642,27
1755,540644,3
1756,540645,1
1757,540646,1
1758,540647,1
1759,540648,1
1760,540649,1
1761,540653,4
1762,540662,2
1763,540664,3
1764,540671,4
1765,540672,2
1766,540680,4
1767,540681,4
1768,540685,1
1769,540687,1
1770,540688,27
1771,540689,3
1772,540690,3
1773,540691,2
1774,540692,4
1775,540697,2
1776,540698,1
1777,540700,32
1778,540701,4
1779,540702,4
1780,540703,2
1781,540704,1
1782,540732,4
1783,540750,3
1784,540753,2
1785,540768,3
1786,540769,26
1787,540770,1
1788,540777,1
1789,540779,1
1790,540782,2
1791,540785,9
1792,540789,27
1793,540794,2
1794,540795,4
1795,540797,4
1796,540798,3
1797,540799,2
1798,540800,3
1799,540801,9
1800,540802,3
1801,540803,3
1802,540809,2
1803,540813,3
1804,540815,3
1805,540816,3
1806,540817,3
1807,540818,2
1808,540819,1
1809,540821,1
1810,540822,2
1811,540823,2
1812,540824,27
1813,540825,4
1814,540826,2
1815,540827,4
1816,540828,3
1817,540829,4
1818,540832,3
1819,540834,1
1820,540835,27
1821,540838,2
1822,540839,2
1823,540840,3
1824,540842,3
1825,540844,3
1826,540848,1
1827,540849,3
1828,540851,27
1829,540855,1
1830,540856,1
1831,540857,1
1832,540858,3
1833,540859,1
1834,540862,3
1835,540866,2
1836,540900,26
1837,540906,2
1838,540907,2
1839,540908,2
1840,540915,2
1841,540939,3
1842,540940,4
1843,540943,1
1844,540947,1
1845,540951,4
1846,540953,3
1847,540954,4
1848,540955,3
1849,540957,1
1850,540968,3
1851,540970,2
1852,540971,29
1853,540972,27
1854,540973,3
1855,540974,3
1856,540975,2
1857,540976,27
1858,540977,1
1859,540979,2
1860,540980,1
1861,540981,2
1862,540983,2
1863,540984,2
1864,540985,3
1865,540986,4
1866,540990,2
1867,540991,3
1868,540992,1
1869,540993,4
1870,540994,4
1871,540995,3
